,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_buffer_size,params_gamma,params_learning_starts,params_log_std_init,params_lr,params_net_arch,params_tau,params_train_freq,state
0,0,,2021-04-27 13:48:25.086404,2021-04-27 14:16:36.969737,0 days 00:28:11.883333000,32,100000,0.9999,20000,-1.8664966361126214,0.03196497516113261,medium,0.02,16,FAIL
1,1,-386.76256739999997,2021-04-27 13:48:25.088680,2021-04-27 14:07:09.640721,0 days 00:18:44.552041000,32,1000000,0.99,20000,-1.4355100951403799,0.3640650110987253,small,0.01,512,COMPLETE
2,2,1108.1237486,2021-04-27 13:48:25.092101,2021-04-27 14:20:34.704372,0 days 00:32:09.612271000,512,10000,0.9,20000,-3.4592629565875415,0.0007846283991006702,small,0.005,16,COMPLETE
3,3,871.8670102,2021-04-27 14:07:09.644048,2021-04-27 14:47:03.516927,0 days 00:39:53.872879000,1024,10000,0.999,20000,-0.8968042976683499,0.00029032059964988807,small,0.005,128,COMPLETE
4,4,1035.5367876,2021-04-27 14:16:36.972110,2021-04-27 16:09:22.847816,0 days 01:52:45.875706000,2048,100000,0.9999,20000,-2.5533672999025114,2.5690948300741802e-05,big,0.01,8,COMPLETE
5,5,-392.341084,2021-04-27 14:20:34.710283,2021-04-27 15:15:23.465882,0 days 00:54:48.755599000,64,100000,0.9999,10000,-2.071206969077083,0.7620402692017055,big,0.02,8,COMPLETE
6,6,263.04366139999996,2021-04-27 14:47:03.529088,2021-04-27 15:20:11.933777,0 days 00:33:08.404689000,256,1000000,0.99,0,-1.5088262320685963,1.2649074445958799e-05,small,0.005,16,COMPLETE
7,7,,2021-04-27 15:15:23.469637,2021-04-27 16:17:21.011074,0 days 01:01:57.541437000,512,10000,0.999,10000,-2.4583023573836718,0.04452707540254749,big,0.02,8,FAIL
8,8,-376.8911046,2021-04-27 15:20:11.938824,2021-04-27 15:39:23.225271,0 days 00:19:11.286447000,32,100000,0.99,10000,0.021406880822276264,0.042368808828660405,small,0.005,8,COMPLETE
9,9,589.7474988,2021-04-27 15:39:23.229986,2021-04-27 17:12:40.198308,0 days 01:33:16.968322000,1024,100000,0.999,1000,0.6282297588215808,3.919298510544758e-05,big,0.005,64,COMPLETE
10,10,681.2502204,2021-04-27 16:09:22.849569,2021-04-27 16:44:14.523469,0 days 00:34:51.673900000,256,100000,0.9,0,0.5637074281654915,0.01243207262844908,small,0.05,256,COMPLETE
11,11,-377.7193032,2021-04-27 16:17:21.015384,2021-04-27 17:18:57.961493,0 days 01:01:36.946109000,512,10000,0.95,0,0.10070612351665709,0.2829594040360176,medium,0.001,512,COMPLETE
12,12,760.366803,2021-04-27 16:44:14.526438,2021-04-27 17:22:22.811102,0 days 00:38:08.284664000,512,100000,0.9,20000,-1.0287024710306318,0.008946854898148922,small,0.05,32,COMPLETE
13,13,,2021-04-27 17:12:40.208841,2021-04-27 17:29:33.939640,0 days 00:16:53.730799000,256,10000,0.9,0,-3.7738387375608116,0.02956576276262921,medium,0.02,8,PRUNED
14,14,866.7060508000001,2021-04-27 17:18:57.963639,2021-04-27 17:52:19.650539,0 days 00:33:21.686900000,16,10000,0.98,20000,-3.8717728980286346,0.0007189992452792743,medium,0.02,32,COMPLETE
15,15,1479.2653606,2021-04-27 17:22:22.815602,2021-04-27 19:09:11.437517,0 days 01:46:48.621915000,2048,10000,0.98,20000,-3.902202494799899,0.0004987815539978998,big,0.01,16,COMPLETE
