,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_buffer_size,params_ent_coef,params_gamma,params_learning_starts,params_log_std_init,params_lr,params_net_arch,params_tau,params_train_freq,state
29,29,0.2330996,2021-03-18 06:23:41.378460,2021-03-18 06:51:57.915993,0 days 00:28:16.537533000,256,10000,auto,0.98,1000,-0.8362993141943107,0.0004061646783011128,big,0.01,256,COMPLETE
30,30,0.2859151999999999,2021-03-18 06:47:51.948304,2021-03-18 07:17:07.692037,0 days 00:29:15.743733000,256,1000000,auto,0.99,0,-3.5407410261370096,0.00012728808799827322,big,0.01,16,COMPLETE
31,31,30.487816600000002,2021-03-18 06:51:57.918120,2021-03-18 07:21:08.051682,0 days 00:29:10.133562000,2048,1000000,auto,0.99,10000,-3.593026306841033,7.505859210401744e-05,medium,0.02,64,COMPLETE
32,32,-1.3418324,2021-03-18 07:17:07.694022,2021-03-18 07:20:06.506657,0 days 00:02:58.812635000,2048,10000,auto,0.995,20000,-0.23623544614308611,1.3847251076920607e-05,medium,0.005,8,PRUNED
33,33,956.1625338000001,2021-03-18 07:20:06.508419,2021-03-18 07:47:20.097790,0 days 00:27:13.589371000,1024,10000,auto,0.9999,10000,-2.69816200898529,0.00869939224615729,medium,0.02,32,COMPLETE
34,34,-0.07683199999999998,2021-03-18 07:21:08.053335,2021-03-18 07:48:13.457047,0 days 00:27:05.403712000,2048,10000,auto,0.999,10000,0.6293165675412742,0.00016028065926567938,medium,0.02,512,COMPLETE
35,35,-297.590068,2021-03-18 07:47:20.100164,2021-03-18 08:13:04.519646,0 days 00:25:44.419482000,1024,10000,auto,0.9999,10000,-2.616708514677857,0.008788317924864628,medium,0.02,32,COMPLETE
36,36,669.9519076,2021-03-18 07:48:13.458796,2021-03-18 08:10:45.022212,0 days 00:22:31.563416000,1024,10000,auto,0.9999,20000,-2.5998910919764793,0.00847068274184994,medium,0.02,32,COMPLETE
37,37,873.7387454,2021-03-18 08:10:45.024314,2021-03-18 08:36:10.126770,0 days 00:25:25.102456000,1024,10000,auto,0.9999,10000,-2.8806754691799417,0.000817504625315091,medium,0.02,32,COMPLETE
38,38,632.766535,2021-03-18 08:13:04.521743,2021-03-18 08:38:38.211108,0 days 00:25:33.689365000,1024,10000,auto,0.9999,10000,-3.030996527723476,0.0009353185078241655,medium,0.005,128,COMPLETE
39,39,458.17044139999996,2021-03-18 08:36:10.128609,2021-03-18 09:01:40.927414,0 days 00:25:30.798805000,1024,100000,auto,0.9999,10000,-3.9687943826830194,0.001042043949791244,medium,0.02,32,COMPLETE
40,40,,2021-03-18 08:38:38.213202,2021-03-18 08:44:44.666759,0 days 00:06:06.453557000,1024,100000,auto,0.9999,10000,-3.3001025271481024,0.055459184482555345,medium,0.02,32,PRUNED
41,41,542.221563,2021-03-18 08:44:44.670170,2021-03-18 09:11:09.011629,0 days 00:26:24.341459000,1024,10000,auto,0.9999,10000,-1.1563739342972128,0.0024923010055324015,medium,0.02,32,COMPLETE
42,42,-1.4771519999999998,2021-03-18 09:01:40.929445,2021-03-18 09:07:08.823187,0 days 00:05:27.893742000,1024,10000,auto,0.9999,10000,-2.8677183240268187,0.002765403945687114,medium,0.02,32,PRUNED
43,43,,2021-03-18 09:07:08.826849,2021-03-18 09:19:16.017396,0 days 00:12:07.190547000,1024,10000,auto,0.9999,20000,-0.37832374623677123,0.04023078298383299,medium,0.02,32,PRUNED
44,44,-0.0934424,2021-03-18 09:11:09.013817,2021-03-18 09:13:18.691719,0 days 00:02:09.677902000,1024,10000,auto,0.9999,20000,-3.292165454968555,0.0009723465722670431,medium,0.02,32,PRUNED
45,45,-0.6708298,2021-03-18 09:13:18.693023,2021-03-18 09:34:23.321703,0 days 00:21:04.628680000,1024,10000,auto,0.9999,0,-1.6679765593613434,0.00548134704258789,medium,0.001,128,PRUNED
46,46,-0.0462844,2021-03-18 09:19:16.018478,2021-03-18 09:46:46.498407,0 days 00:27:30.479929000,1024,10000,auto,0.995,10000,-2.3990451734220324,0.005698895349287456,medium,0.001,128,COMPLETE
47,47,713.1420828,2021-03-18 09:34:23.322881,2021-03-18 09:57:13.705780,0 days 00:22:50.382899000,512,10000,auto,0.995,10000,-2.9095845845082944,0.0006455658517972933,medium,0.01,256,COMPLETE
48,48,-399.91286840000004,2021-03-18 09:46:46.501835,2021-03-18 09:54:47.993798,0 days 00:08:01.491963000,512,10000,auto,0.995,1000,-2.783896477923973,0.7551554532230026,medium,0.01,256,PRUNED
49,49,-0.0097826,2021-03-18 09:54:47.997158,2021-03-18 09:59:48.827149,0 days 00:05:00.829991000,256,100000,auto,0.98,10000,-3.1929412812484497,3.5220820498640064e-05,big,0.005,256,PRUNED
50,50,0.9020166,2021-03-18 09:57:13.707436,2021-03-18 10:05:14.538501,0 days 00:08:00.831065000,256,100000,auto,0.98,0,-1.1780862970160932,4.1490919040427295e-05,big,0.005,16,PRUNED
51,51,928.8653099999999,2021-03-18 09:59:48.828579,2021-03-18 10:22:45.674334,0 days 00:22:56.845755000,256,10000,auto,0.9999,0,-2.132168356323411,0.0015667912946188483,medium,0.02,16,COMPLETE
52,52,-0.4575028,2021-03-18 10:05:14.539714,2021-03-18 10:13:04.632188,0 days 00:07:50.092474000,1024,10000,auto,0.9999,1000,-2.143436121606114,0.0013732170098508913,medium,0.02,8,PRUNED
53,53,-399.8810484,2021-03-18 10:13:04.633373,2021-03-18 10:18:58.177954,0 days 00:05:53.544581000,2048,10000,auto,0.9999,10000,-2.4488286003028428,0.16483961498340494,medium,0.02,64,PRUNED
54,54,-0.7421686000000001,2021-03-18 10:18:58.181187,2021-03-18 10:39:11.206095,0 days 00:20:13.024908000,2048,10000,auto,0.999,10000,0.4332449025760422,0.0002332627339003318,medium,0.02,512,PRUNED
55,55,622.9921631999999,2021-03-18 10:22:45.676337,2021-03-18 10:45:38.600843,0 days 00:22:52.924506000,256,10000,auto,0.9999,0,-1.662173258907584,0.0006914745705701845,medium,0.02,16,COMPLETE
56,56,939.9220002,2021-03-18 10:39:11.207405,2021-03-18 11:03:42.270449,0 days 00:24:31.063044000,256,10000,auto,0.9999,0,-1.930144364408281,0.0036131539436630882,medium,0.02,16,COMPLETE
57,57,-0.6982956,2021-03-18 10:45:38.602823,2021-03-18 10:57:42.847380,0 days 00:12:04.244557000,256,10000,auto,0.9999,0,-2.704909755933262,0.0034413414807824313,medium,0.02,16,PRUNED
58,58,-0.0563828,2021-03-18 10:57:42.848655,2021-03-18 11:04:59.050995,0 days 00:07:16.202340000,256,10000,auto,0.9999,0,-2.0524223518574543,0.0021714435296723055,medium,0.02,16,PRUNED
59,59,-399.8992262,2021-03-18 11:03:42.272493,2021-03-18 11:16:25.242727,0 days 00:12:42.970234000,256,10000,auto,0.9999,0,-2.021541589002151,0.01845130432786949,medium,0.02,16,PRUNED
