,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_buffer_size,params_ent_coef,params_gamma,params_learning_starts,params_log_std_init,params_lr,params_net_arch,params_tau,params_train_freq,state
0,0,-0.46193660000000003,2021-03-17 23:44:35.323688,2021-03-18 00:07:29.798899,0 days 00:22:54.475211000,64,10000,auto,0.995,10000,0.11343042646691437,2.8995074694076803e-05,big,0.01,256,COMPLETE
1,1,9.397949400000002,2021-03-17 23:44:35.326106,2021-03-18 00:09:31.668638,0 days 00:24:56.342532000,16,1000000,auto,0.999,0,-3.2845747819719877,8.916712365602466e-05,big,0.01,64,COMPLETE
2,2,,2021-03-18 00:07:29.802028,,,64,1000000,auto,0.999,1000,-1.9474809428964583,0.0023389871991814654,small,0.05,32,RUNNING
3,3,,2021-03-18 00:09:31.670400,,,64,100000,auto,0.9999,10000,-2.4422657946998445,0.00010836235377206658,medium,0.01,256,RUNNING
