,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_buffer_size,params_exploration_final_eps,params_exploration_fraction,params_gamma,params_learning_starts,params_lr,params_net_arch,params_subsample_steps,params_target_update_interval,params_train_freq,state
112,112,179.51322419999997,2021-05-04 15:43:43.383418,2021-05-04 15:57:49.619157,0 days 00:14:06.235739000,100,50000,0.0019265137464425965,0.25484923806618814,0.95,10000,0.00025887921710897365,medium,2,1000,1,COMPLETE
113,113,-286.30566120000003,2021-05-04 15:57:49.622906,2021-05-04 16:11:18.633503,0 days 00:13:29.010597000,100,100000,0.037948582762213745,0.41290578665098965,0.9,10000,2.5691756304163693e-05,medium,4,1000,1,COMPLETE
114,114,432.6933372,2021-05-04 16:06:43.959161,2021-05-04 16:21:19.096209,0 days 00:14:35.137048000,100,100000,0.014118010532181336,0.41089320330872514,0.9,10000,2.617348831136806e-05,medium,4,1000,1,COMPLETE
115,115,-360.55549400000007,2021-05-04 16:09:19.366197,2021-05-04 16:26:09.751171,0 days 00:16:50.384974000,100,100000,0.11325602166510226,0.0686849596981394,0.95,1000,0.0017026847665964592,medium,2,1000,1,COMPLETE
116,116,405.9825864,2021-05-04 16:11:18.635478,2021-05-04 16:26:31.290679,0 days 00:15:12.655201000,128,100000,0.13746469723927315,0.09925739550186036,0.95,1000,0.00019863249073592213,medium,2,1000,1,COMPLETE
117,117,-246.480469,2021-05-04 16:21:19.099211,2021-05-04 16:47:04.375946,0 days 00:25:45.276735000,512,100000,0.07560705325041103,0.17847133697456571,0.9,1000,1.4158400320862628e-05,medium,2,1000,1,COMPLETE
118,118,301.8812258,2021-05-04 16:26:09.769322,2021-05-04 16:42:01.355420,0 days 00:15:51.586098000,100,100000,0.07257597677383092,0.15990342975465677,0.9,1000,1.5199311012205572e-05,medium,2,1000,1,COMPLETE
119,119,-328.80709379999996,2021-05-04 16:26:31.293314,2021-05-04 16:29:00.047470,0 days 00:02:28.754156000,512,100000,0.07218777578996186,0.3177776103566628,0.9,1000,1.2955458243874331e-05,tiny,2,1000,1,PRUNED
120,120,-201.6924432,2021-05-04 16:29:00.048963,2021-05-04 16:43:32.762608,0 days 00:14:32.713645000,100,100000,0.08578566711990582,0.36875236343778306,0.9,1000,3.2489581268872e-05,medium,8,1000,1,COMPLETE
121,121,96.22294480000001,2021-05-04 16:42:01.358083,2021-05-04 17:06:05.604030,0 days 00:24:04.245947000,512,100000,0.014134938501670795,0.3839341951618698,0.995,10000,8.04245248475564e-05,medium,2,1000,1,COMPLETE
122,122,344.7684936,2021-05-04 16:43:32.766085,2021-05-04 17:05:56.331245,0 days 00:22:23.565160000,512,100000,0.013563162547291343,0.43024826377670905,0.995,10000,8.722675752030168e-05,medium,2,15000,1,COMPLETE
123,123,-205.81641099999996,2021-05-04 16:47:04.380347,2021-05-04 17:02:16.310296,0 days 00:15:11.929949000,128,100000,0.13028735190229784,0.11486262596635641,0.95,1000,8.02182439592911e-05,medium,2,1000,1,COMPLETE
124,124,-336.78978199999995,2021-05-04 17:02:16.312255,2021-05-04 17:06:54.066362,0 days 00:04:37.754107000,128,100000,0.12301142791713342,0.03297207499646618,0.995,1000,6.054835439489928e-05,medium,2,1000,1,PRUNED
125,125,-357.75413679999997,2021-05-04 17:05:56.335839,2021-05-04 17:10:39.010784,0 days 00:04:42.674945000,128,100000,0.14729110983615928,0.04329875727249522,0.9999,1000,0.005780935971630205,medium,2,1000,1,PRUNED
126,126,23.015899000000008,2021-05-04 17:06:05.607971,2021-05-04 17:22:39.559193,0 days 00:16:33.951222000,128,100000,0.1560715288855026,0.011822504091957828,0.95,1000,0.00019039378099449435,medium,2,1000,1,COMPLETE
127,127,280.8959386,2021-05-04 17:06:54.067584,2021-05-04 17:25:17.918011,0 days 00:18:23.850427000,128,100000,0.008326032746078686,0.12047476349437172,0.95,1000,0.00021745406105185442,medium,2,1000,1,COMPLETE
128,128,335.2682466,2021-05-04 17:10:39.013151,2021-05-04 17:25:24.514554,0 days 00:14:45.501403000,128,100000,0.008187177857314308,0.12148555994865233,0.95,10000,0.00021472288328379114,medium,1,1000,1,COMPLETE
129,129,-105.48391980000001,2021-05-04 17:22:39.560965,2021-05-04 17:37:33.777973,0 days 00:14:54.217008000,100,100000,0.007593214159787226,0.1218020052102492,0.95,10000,0.00013462387424898923,medium,1,10000,1,COMPLETE
130,130,-205.05184060000002,2021-05-04 17:25:17.920652,2021-05-04 17:41:48.657937,0 days 00:16:30.737285000,100,100000,0.05998195847470246,0.13577591618271728,0.95,10000,0.0006010614740863804,medium,1,10000,16,COMPLETE
131,131,-291.7443688,2021-05-04 17:25:24.516156,2021-05-04 17:31:12.763257,0 days 00:05:48.247101000,100,10000,0.050354677220625844,0.09557786563587209,0.95,5000,0.00012251553773114858,medium,4,10000,16,COMPLETE
132,132,373.71250399999997,2021-05-04 17:31:12.765666,2021-05-04 17:36:40.480601,0 days 00:05:27.714935000,100,100000,0.10590705012100922,0.23910824379909806,0.9999,10000,0.0006205183667098291,medium,4,1000,1000,COMPLETE
133,133,-299.0533838,2021-05-04 17:36:40.484861,2021-05-04 17:42:10.487779,0 days 00:05:30.002918000,100,50000,0.029288027666830696,0.44709704985647986,0.95,10000,0.0003046052415220346,medium,4,5000,128,COMPLETE
134,134,-356.77451260000004,2021-05-04 17:37:33.779483,2021-05-04 17:42:59.624106,0 days 00:05:25.844623000,64,50000,0.030580279396466827,0.44333776058941243,0.95,10000,0.00031858798893024147,medium,4,5000,128,COMPLETE
135,135,-18.710235199999993,2021-05-04 17:41:48.661298,2021-05-04 17:48:09.359739,0 days 00:06:20.698441000,64,50000,0.019576227599307404,0.4556535159175341,0.95,10000,0.0003447709931070472,medium,4,5000,128,COMPLETE
136,136,-363.9409826,2021-05-04 17:42:10.491952,2021-05-04 17:51:29.736092,0 days 00:09:19.244140000,64,50000,0.0009834540543090264,0.4833566377830504,0.95,10000,0.02282603257425148,medium,4,1,128,COMPLETE
137,137,-181.8094878,2021-05-04 17:42:59.626775,2021-05-04 17:45:15.509051,0 days 00:02:15.882276000,32,50000,0.020494780432067435,0.4851622048156777,0.95,10000,0.0004266687021815429,medium,4,1,128,PRUNED
138,138,-366.4734202000001,2021-05-04 17:45:15.510560,2021-05-04 17:46:20.317585,0 days 00:01:04.807025000,100,100000,0.00040870700160512176,0.41599897805051206,0.95,10000,0.023263087622471743,medium,4,1000,4,PRUNED
139,139,-47.4585326,2021-05-04 17:46:20.320078,2021-05-04 18:00:52.541986,0 days 00:14:32.221908000,100,50000,0.02439838163793316,0.45517389162048444,0.99,10000,0.00010370094015956512,medium,4,1000,1,COMPLETE
140,140,-233.23703300000003,2021-05-04 17:48:09.362943,2021-05-04 17:51:10.421034,0 days 00:03:01.058091000,100,100000,0.023344671274524817,0.39237160916651925,0.99,10000,0.00010693864512284373,medium,4,1000,1,PRUNED
141,141,346.08272479999994,2021-05-04 17:51:10.423542,2021-05-04 18:06:48.780177,0 days 00:15:38.356635000,100,100000,0.06730997949961867,0.47694762087548825,0.9,5000,3.972479092461845e-05,medium,4,1000,1,COMPLETE
142,142,-345.5301758,2021-05-04 17:51:29.742344,2021-05-04 17:54:49.462876,0 days 00:03:19.720532000,100,100000,0.011247589304265844,0.42722377415171164,0.9,5000,5.389952015753088e-05,medium,4,1000,1,PRUNED
143,143,-251.4189664,2021-05-04 17:54:49.465056,2021-05-04 18:08:44.453589,0 days 00:13:54.988533000,100,100000,0.043722087961821886,0.4732361112065033,0.9,10000,3.9329374050137485e-05,medium,4,1000,1,COMPLETE
144,144,-291.7156008,2021-05-04 18:00:52.547109,2021-05-04 18:06:48.458012,0 days 00:05:55.910903000,100,100000,0.04024780165062651,0.4677000258895701,0.9,10000,4.572849472420817e-05,medium,4,1000,1,PRUNED
145,145,-264.6411476,2021-05-04 18:06:48.459796,2021-05-04 18:21:20.155749,0 days 00:14:31.695953000,100,100000,0.04528810975697522,0.4397528742556655,0.9,10000,3.583224195679951e-05,medium,4,1000,1,COMPLETE
146,146,-186.9473254,2021-05-04 18:06:48.782281,2021-05-04 18:22:05.862970,0 days 00:15:17.080689000,100,100000,0.138476869244143,0.436139114659779,0.9,10000,2.097838193222214e-05,medium,4,1000,1,COMPLETE
147,147,367.25359719999994,2021-05-04 18:08:44.455522,2021-05-04 18:22:07.834573,0 days 00:13:23.379051000,100,100000,0.017137867129006713,0.4394492353495762,0.9,10000,6.64254514141673e-05,medium,4,1000,1,COMPLETE
148,148,-317.94249099999996,2021-05-04 18:21:20.160988,2021-05-04 18:22:50.840708,0 days 00:01:30.679720000,100,100000,0.14001649718780282,0.4996349390621508,0.9,10000,6.76938716395699e-05,tiny,4,1000,1,PRUNED
149,149,-281.9046694,2021-05-04 18:22:05.866204,2021-05-04 18:29:19.690511,0 days 00:07:13.824307000,100,100000,0.03545861182936104,0.40560973138740974,0.999,10000,0.00016215262981193618,tiny,4,1000,1,COMPLETE
150,150,-271.6307258,2021-05-04 18:22:07.842199,2021-05-04 18:29:11.627975,0 days 00:07:03.785776000,100,100000,0.03593989672397934,0.49850764119204427,0.999,10000,0.0001520463562832903,tiny,8,10000,1,COMPLETE
151,151,195.0487062,2021-05-04 18:22:50.841684,2021-05-04 18:27:58.960915,0 days 00:05:08.119231000,100,100000,0.16496287446793037,0.4095070529627843,0.9999,10000,0.00015911107460767301,medium,8,10000,4,COMPLETE
152,152,-141.7615782,2021-05-04 18:27:58.963108,2021-05-04 18:31:22.581535,0 days 00:03:23.618427000,100,50000,0.034676874490856345,0.4526998760162947,0.95,10000,0.00017068527682640876,medium,1,15000,1,PRUNED
153,153,411.31272980000006,2021-05-04 18:29:11.630533,2021-05-04 18:35:07.507538,0 days 00:05:55.877005000,100,100000,0.00438121931937415,0.28802579629423475,0.9999,10000,0.0005967419246690697,medium,4,1000,1000,COMPLETE
154,154,-366.822627,2021-05-04 18:29:19.701936,2021-05-04 18:31:26.879300,0 days 00:02:07.177364000,100,100000,0.09919240944072494,0.22506549044615914,0.9999,10000,0.0002706493431555085,medium,4,1000,1000,PRUNED
155,155,51.4190924,2021-05-04 18:31:22.583775,2021-05-04 18:47:45.681874,0 days 00:16:23.098099000,100,100000,0.10084769331612621,0.20853312516254063,0.9999,10000,0.0007374574800817783,medium,4,1000,1,COMPLETE
156,156,-118.45275699999999,2021-05-04 18:31:26.881081,2021-05-04 18:37:24.184029,0 days 00:05:57.302948000,100,100000,0.09372892844595826,0.29685403917815345,0.9999,10000,0.00040549034702771364,medium,4,1000,1000,COMPLETE
157,157,-349.516616,2021-05-04 18:35:07.509700,2021-05-04 18:40:33.046388,0 days 00:05:25.536688000,100,100000,0.0057968983509933125,0.2808311464045294,0.9999,10000,0.0004120967443341526,medium,4,1000,1000,COMPLETE
158,158,259.0152576,2021-05-04 18:37:24.189262,2021-05-04 18:49:22.486586,0 days 00:11:58.297324000,64,100000,0.004524325584656908,0.1806624238951549,0.9999,10000,0.0007951873664149899,medium,2,1,1000,COMPLETE
159,159,1023.8128123999999,2021-05-04 18:40:33.051222,2021-05-04 18:52:13.174143,0 days 00:11:40.122921000,64,100000,0.011941928415707525,0.18477734088800582,0.95,10000,0.0007879921746762387,medium,2,1,1000,COMPLETE
160,160,59.80903620000002,2021-05-04 18:47:45.686193,2021-05-04 18:58:33.785408,0 days 00:10:48.099215000,64,10000,0.012442404027733212,0.3424237791714937,0.95,10000,2.66212352169191e-05,medium,2,1,1000,COMPLETE
161,161,268.40861340000004,2021-05-04 18:49:22.489598,2021-05-04 19:20:18.353918,0 days 00:30:55.864320000,512,50000,0.015480413960112908,0.32934961344032054,0.95,1000,2.668217386748899e-05,medium,2,1000,1,COMPLETE
162,162,148.044685,2021-05-04 18:52:13.177295,2021-05-04 19:03:36.368079,0 days 00:11:23.190784000,64,50000,0.01007428461323592,0.33943997622516403,0.95,1000,0.0005802093511286016,medium,2,1,1000,COMPLETE
163,163,367.8956354,2021-05-04 18:58:33.789771,2021-05-04 19:09:24.075540,0 days 00:10:50.285769000,64,100000,0.015741536528245267,0.15363406437250682,0.95,10000,0.000237390894630505,medium,2,1,1000,COMPLETE
164,164,535.7457562,2021-05-04 19:03:36.373293,2021-05-04 19:14:09.887749,0 days 00:10:33.514456000,64,100000,0.016581710892508972,0.15580877690095296,0.95,10000,0.00023211095978976787,medium,2,1,1000,COMPLETE
165,165,509.6390192,2021-05-04 19:09:24.077064,2021-05-04 19:26:28.182385,0 days 00:17:04.105321000,512,100000,0.18819614692425032,0.23511923578607447,0.95,10000,0.002201503419256936,medium,2,1,1000,COMPLETE
166,166,1239.1886992,2021-05-04 19:14:09.891636,2021-05-04 19:25:08.221059,0 days 00:10:58.329423000,64,100000,6.420262075986383e-05,0.2548654444643805,0.95,10000,0.0024387591760930308,medium,2,1,1000,COMPLETE
167,167,-149.1074802,2021-05-04 19:20:18.356666,2021-05-04 19:31:29.232537,0 days 00:11:10.875871000,64,100000,0.00430170351537531,0.1936917881460046,0.95,10000,0.00021998456118211293,medium,2,1,1000,COMPLETE
168,168,715.3762939999999,2021-05-04 19:25:08.225175,2021-05-04 19:36:25.727983,0 days 00:11:17.502808000,64,100000,0.0037117461092483124,0.254489310968676,0.95,10000,0.00020141931797869472,medium,2,1,1000,COMPLETE
169,169,754.2944114,2021-05-04 19:26:28.184892,2021-05-04 19:44:30.519879,0 days 00:18:02.334987000,512,100000,0.00033113625174227296,0.24887716832725293,0.95,10000,0.001985226109170071,medium,2,1,1000,COMPLETE
170,170,948.3040304,2021-05-04 19:31:29.234556,2021-05-04 19:42:02.098550,0 days 00:10:32.863994000,512,100000,0.0005815819018496716,0.2581051310881425,0.95,10000,0.002166835222470431,small,2,1,1000,COMPLETE
171,171,21.786397799999996,2021-05-04 19:36:25.729971,2021-05-04 19:44:51.431973,0 days 00:08:25.702002000,64,100000,0.0007276140496563265,0.23241206117110333,0.95,10000,0.0012288627430998818,small,2,1,1000,COMPLETE
172,172,95.88600820000002,2021-05-04 19:42:02.100766,2021-05-04 19:53:48.226659,0 days 00:11:46.125893000,512,100000,0.0003285418909357834,0.2678713034609962,0.95,10000,0.0031567540069646423,small,2,1,1000,COMPLETE
173,173,735.1139642,2021-05-04 19:44:30.521799,2021-05-04 19:55:36.934055,0 days 00:11:06.412256000,512,100000,0.0011940273263849471,0.2626918823959799,0.95,10000,0.002536205322970023,small,2,1,1000,COMPLETE
174,174,748.6552662,2021-05-04 19:44:51.433850,2021-05-04 19:56:26.537167,0 days 00:11:35.103317000,512,100000,0.0009940240831957897,0.25916795728861447,0.95,10000,0.002180363469523762,small,2,1,1000,COMPLETE
175,175,524.8660196,2021-05-04 19:53:48.229300,2021-05-04 20:05:41.039320,0 days 00:11:52.810020000,512,100000,0.008364776758259286,0.25952628545890044,0.95,10000,0.0028434477750630795,small,2,1,1000,COMPLETE
176,176,1376.2263552,2021-05-04 19:55:36.936984,2021-05-04 20:07:33.300237,0 days 00:11:56.363253000,512,100000,0.05523388236712591,0.254508120569179,0.95,10000,0.003029607702441529,small,2,1,1000,COMPLETE
177,177,323.4441388,2021-05-04 19:56:26.541695,2021-05-04 20:09:18.686947,0 days 00:12:52.145252000,512,100000,0.007779594023375866,0.25931980201311283,0.95,10000,0.004369336436431683,small,2,1,1000,COMPLETE
178,178,866.9195662,2021-05-04 20:05:41.042812,2021-05-04 20:21:31.056495,0 days 00:15:50.013683000,512,100000,0.007688808812192966,0.25596216318678716,0.95,10000,0.002533611155281829,small,2,1,1000,COMPLETE
179,179,1102.1255734000001,2021-05-04 20:07:33.302486,2021-05-04 20:23:24.992341,0 days 00:15:51.689855000,512,100000,0.008026041209348706,0.2560581586071708,0.95,10000,0.0022789646553135405,small,2,1,1000,COMPLETE
180,180,936.1346381999999,2021-05-04 20:09:18.691700,2021-05-04 20:25:23.331215,0 days 00:16:04.639515000,512,100000,0.0006207057554976922,0.2591766816630774,0.95,10000,0.00244605999428324,small,2,1,1000,COMPLETE
181,181,938.5585960000001,2021-05-04 20:21:31.067784,2021-05-04 20:37:39.759761,0 days 00:16:08.691977000,512,100000,0.0021767774882765,0.2587089727311275,0.95,10000,0.0026548918512397032,small,2,1,1000,COMPLETE
182,182,966.5879884,2021-05-04 20:23:24.994310,2021-05-04 20:39:26.112077,0 days 00:16:01.117767000,512,100000,0.00036750573789881005,0.2544945341593799,0.95,10000,0.0023909673502413376,small,2,1,1000,COMPLETE
183,183,503.24850559999993,2021-05-04 20:25:23.339498,2021-05-04 20:42:14.146864,0 days 00:16:50.807366000,512,100000,0.0013033397076143653,0.24794640426870854,0.95,10000,0.0024375020615074396,small,2,1,1000,COMPLETE
184,184,1222.8213922,2021-05-04 20:37:39.768772,2021-05-04 20:54:00.425259,0 days 00:16:20.656487000,512,100000,0.001058281727250139,0.25484011343815,0.95,10000,0.0024239563427834922,small,2,1,1000,COMPLETE
185,185,296.0538664,2021-05-04 20:39:26.120007,2021-05-04 20:55:58.926134,0 days 00:16:32.806127000,512,100000,0.0007533128339408308,0.251654653218542,0.95,10000,0.0024224303599677407,small,2,1,1000,COMPLETE
186,186,830.0931703999998,2021-05-04 20:42:14.155283,2021-05-04 20:58:31.725988,0 days 00:16:17.570705000,512,100000,8.890101437458963e-05,0.26217685387305556,0.95,10000,0.002584635126372857,small,2,1,1000,COMPLETE
187,187,982.6289180000001,2021-05-04 20:54:00.431573,2021-05-04 21:10:19.482227,0 days 00:16:19.050654000,512,100000,0.00033029223782575425,0.2616049997220715,0.95,10000,0.002966239521344792,small,2,1,1000,COMPLETE
188,188,836.181019,2021-05-04 20:55:58.927505,2021-05-04 21:12:14.319104,0 days 00:16:15.391599000,512,100000,0.00449023020532795,0.26045175227542916,0.95,10000,0.0016023101891372825,small,2,1,1000,COMPLETE
189,189,1310.3110683999998,2021-05-04 20:58:31.733419,2021-05-04 21:15:09.475387,0 days 00:16:37.741968000,512,100000,1.402587269587756e-05,0.2659800955070217,0.95,10000,0.0016065090146330833,small,2,1,1000,COMPLETE
190,190,703.8865254,2021-05-04 21:10:19.485488,2021-05-04 21:26:54.796733,0 days 00:16:35.311245000,512,100000,0.0008588822796654775,0.2629815499792444,0.95,10000,0.001541668681725923,small,2,1,1000,COMPLETE
191,191,1147.2945954,2021-05-04 21:12:14.333148,2021-05-04 21:28:23.809853,0 days 00:16:09.476705000,512,100000,4.102916318186596e-05,0.2696459264365846,0.95,10000,0.0015444837760119942,small,2,1,1000,COMPLETE
192,192,776.3520492,2021-05-04 21:15:09.483940,2021-05-04 21:30:59.891578,0 days 00:15:50.407638000,512,100000,0.0007615998752820803,0.2650688543087819,0.95,10000,0.0016260255868055732,small,2,1,1000,COMPLETE
193,193,1253.0034804,2021-05-04 21:26:54.800026,2021-05-04 21:42:00.557594,0 days 00:15:05.757568000,512,100000,0.0031970934293948147,0.2657901878153829,0.95,10000,0.0015782842574364802,small,2,1,1000,COMPLETE
194,194,1343.2226512000002,2021-05-04 21:28:23.811650,2021-05-04 21:44:33.104457,0 days 00:16:09.292807000,512,100000,0.004379261641079679,0.2838822218523867,0.95,10000,0.0019125441077023826,small,2,1,1000,COMPLETE
195,195,-64.9265596,2021-05-04 21:30:59.893006,2021-05-04 21:46:54.937887,0 days 00:15:55.044881000,512,100000,0.0001882068010416473,0.28755020622965494,0.95,10000,0.0018318842182826207,small,2,1,1000,COMPLETE
196,196,1433.7803101999998,2021-05-04 21:42:00.568579,2021-05-04 21:58:42.806568,0 days 00:16:42.237989000,512,100000,0.00575804659631396,0.28412143595033124,0.95,0,0.0018686920177434453,small,2,1,1000,COMPLETE
197,197,884.9630199999999,2021-05-04 21:44:33.106822,2021-05-04 22:00:06.861131,0 days 00:15:33.754309000,512,100000,0.0062295643563785785,0.2760349188961533,0.95,10000,0.001806315133783781,small,2,1,1000,COMPLETE
198,198,46.7825192,2021-05-04 21:46:54.939532,2021-05-04 22:02:17.405015,0 days 00:15:22.465483000,512,100000,0.007439446406473101,0.27549464792170275,0.95,10000,0.0060233475349193944,small,2,1,1000,COMPLETE
199,199,-109.98572340000001,2021-05-04 21:58:42.815598,2021-05-04 22:14:42.146832,0 days 00:15:59.331234000,512,100000,0.007132858617803162,0.27538531176893644,0.95,0,0.0036474438922469055,small,2,1,1000,COMPLETE
200,200,831.8837028,2021-05-04 22:00:06.863746,2021-05-04 22:16:56.376073,0 days 00:16:49.512327000,512,100000,0.006021205202835238,0.2783240373351776,0.95,0,0.005557679124802355,small,2,1,1000,COMPLETE
201,201,1377.6491796,2021-05-04 22:02:17.412347,2021-05-04 22:18:16.202365,0 days 00:15:58.790018000,512,100000,0.004832007872067388,0.28559596579989754,0.95,10000,0.0039235202864205685,small,2,1,1000,COMPLETE
202,202,142.8380708,2021-05-04 22:14:42.152782,2021-05-04 22:32:34.648217,0 days 00:17:52.495435000,512,100000,0.010821988434236221,0.30597797492641604,0.95,0,0.0014473875286894833,small,2,1,1000,COMPLETE
203,203,768.1173632000001,2021-05-04 22:16:56.378163,2021-05-04 22:34:22.318578,0 days 00:17:25.940415000,512,100000,0.010623091459110673,0.28682898167225307,0.95,0,0.0015044339064475855,small,2,1,1000,COMPLETE
204,204,148.81908300000003,2021-05-04 22:18:16.206401,2021-05-04 22:35:47.073571,0 days 00:17:30.867170000,512,100000,0.005027180225669357,0.2884239876909292,0.95,0,0.004441184873313231,small,2,1,1000,COMPLETE
205,205,754.7075936000001,2021-05-04 22:32:34.656721,2021-05-04 22:49:38.041447,0 days 00:17:03.384726000,512,100000,0.004637182512039036,0.2813495266775686,0.95,0,0.003978093994957562,small,2,1,1000,COMPLETE
206,206,47.330186600000005,2021-05-04 22:34:22.326420,2021-05-04 22:51:05.653172,0 days 00:16:43.326752000,512,100000,0.005487735968417945,0.2433775018677608,0.95,0,0.004567109179399103,small,2,1,1000,COMPLETE
207,207,465.099668,2021-05-04 22:35:47.077365,2021-05-04 22:52:37.196593,0 days 00:16:50.119228000,512,100000,0.004794250262958365,0.24206842053532437,0.95,0,0.0030581613457998885,small,2,1,1000,COMPLETE
208,208,634.9825588,2021-05-04 22:49:38.043876,2021-05-04 23:07:05.229839,0 days 00:17:27.185963000,512,100000,0.004233791402625103,0.27114656730232084,0.95,0,0.0031151175681249383,small,2,1,1000,COMPLETE
209,209,577.409856,2021-05-04 22:51:05.660907,2021-05-04 23:07:47.653256,0 days 00:16:41.992349000,512,100000,0.009399883209391531,0.2697970337474535,0.95,0,0.0031151035840412352,small,2,1,1000,COMPLETE
210,210,417.564048,2021-05-04 22:52:37.201223,2021-05-04 23:10:39.089914,0 days 00:18:01.888691000,512,100000,0.010856195684162646,0.27094601465712875,0.95,0,0.006701679212201217,small,2,1,1000,COMPLETE
211,211,166.2962914,2021-05-04 23:07:05.234286,2021-05-04 23:22:28.436557,0 days 00:15:23.202271000,512,100000,7.2386219079657865e-06,0.3004462001723567,0.95,10000,0.0011638199372924682,small,2,1,1000,COMPLETE
212,212,-29.2212024,2021-05-04 23:07:47.657268,2021-05-04 23:22:47.198161,0 days 00:14:59.540893000,512,100000,0.00023734554509141108,0.2519497155677021,0.95,20000,0.0011084704784461085,small,2,1,1000,COMPLETE
213,213,1187.6037164,2021-05-04 23:10:39.102665,2021-05-04 23:26:37.267471,0 days 00:15:58.164806000,512,100000,0.0004453709064811819,0.2956646824372785,0.95,10000,0.0017340372993019356,small,2,1,1000,COMPLETE
214,214,898.8653357999999,2021-05-04 23:22:28.438950,2021-05-04 23:38:46.255566,0 days 00:16:17.816616000,512,100000,0.002938302920496567,0.25294732699094824,0.95,10000,0.0018650879591384957,small,2,1,1000,COMPLETE
215,215,819.4024844000002,2021-05-04 23:22:47.200809,2021-05-04 23:38:52.905693,0 days 00:16:05.704884000,512,100000,3.511517092647245e-05,0.2646709246293638,0.95,10000,0.0018186055870042467,small,2,1,1000,COMPLETE
216,216,683.7683408,2021-05-04 23:26:37.273259,2021-05-04 23:42:53.803712,0 days 00:16:16.530453000,512,100000,0.0001733217470263834,0.2946632194035122,0.95,10000,0.0019168700195612888,small,2,1,1000,COMPLETE
217,217,555.951626,2021-05-04 23:38:46.258155,2021-05-04 23:50:34.309571,0 days 00:11:48.051416000,512,100000,0.007832144967578258,0.31737795584105266,0.95,10000,0.001948643326884854,small,2,1,1000,COMPLETE
218,218,639.5055684,2021-05-04 23:38:52.907170,2021-05-04 23:51:03.882204,0 days 00:12:10.975034000,512,1000000,0.0082860668005128,0.2938668353382656,0.95,10000,0.0020899032499218637,small,2,1,1000,COMPLETE
219,219,778.9302418,2021-05-04 23:42:53.806667,2021-05-04 23:54:12.030202,0 days 00:11:18.223535000,512,100000,0.007989721348128828,0.31732969389906157,0.95,10000,0.001433090623449254,small,2,1,1000,COMPLETE
220,220,1102.1554184000001,2021-05-04 23:50:34.326816,2021-05-05 00:02:15.363557,0 days 00:11:41.036741000,512,1000000,0.004297058061275313,0.28035781950586725,0.95,10000,0.0013993195485482812,small,2,1,1000,COMPLETE
221,221,1013.0050911999999,2021-05-04 23:51:03.885649,2021-05-05 00:03:15.247143,0 days 00:12:11.361494000,512,100000,0.00409962433831599,0.28309202306682935,0.95,10000,0.0014209046585428567,small,2,1,1000,COMPLETE
222,222,783.5974834000001,2021-05-04 23:54:12.036933,2021-05-05 00:07:41.981737,0 days 00:13:29.944804000,512,100000,0.012896768710915682,0.2812123191350386,0.95,10000,0.0037756256974414036,small,2,1,1000,COMPLETE
223,223,383.5161208,2021-05-05 00:02:15.374630,2021-05-05 00:18:50.591718,0 days 00:16:35.217088000,512,1000000,0.0037629909839016033,0.28258006328399377,0.95,10000,0.0009352711377450126,small,2,1,1000,COMPLETE
224,224,936.0587985999998,2021-05-05 00:03:15.248831,2021-05-05 00:19:50.805960,0 days 00:16:35.557129000,512,1000000,0.0037116734024329905,0.2457803449866517,0.95,10000,0.0013032753520478208,small,2,1,1000,COMPLETE
225,225,731.6402132,2021-05-05 00:07:41.983608,2021-05-05 00:23:32.454752,0 days 00:15:50.471144000,512,1000000,0.003710903638755058,0.24761420247837496,0.95,10000,0.0013779658220877276,small,2,1,1000,COMPLETE
226,226,-116.49514000000002,2021-05-05 00:18:50.595215,2021-05-05 00:34:42.588467,0 days 00:15:51.993252000,512,1000000,0.0031610625665569065,0.25222445970704094,0.95,10000,0.001318833991453904,small,2,1,1000,COMPLETE
227,227,12.450200599999981,2021-05-05 00:19:50.815672,2021-05-05 00:36:11.302567,0 days 00:16:20.486895000,512,100000,0.0001692839377877304,0.24978040774677335,0.95,10000,0.001304579847718507,small,2,1,1000,COMPLETE
228,228,797.2855446000001,2021-05-05 00:23:32.467179,2021-05-05 00:40:15.830746,0 days 00:16:43.363567000,512,1000000,0.012847035299574951,0.23614828465374343,0.95,10000,0.0023244214870954136,small,2,1,1000,COMPLETE
229,229,727.7593870000001,2021-05-05 00:34:42.599633,2021-05-05 00:49:39.136987,0 days 00:14:56.537354000,512,1000000,5.655897766104182e-06,0.23156769892612616,0.95,10000,0.0024374272314646047,small,2,1,1000,COMPLETE
230,230,1110.4261437999999,2021-05-05 00:36:11.306310,2021-05-05 00:51:05.196928,0 days 00:14:53.890618000,512,1000000,0.01219393399614918,0.23298267017905605,0.95,10000,0.002569909916219476,small,2,1,1000,COMPLETE
231,231,437.0493818,2021-05-05 00:40:15.835676,2021-05-05 00:54:41.483375,0 days 00:14:25.647699000,512,1000000,0.010710381994112228,0.30813043651954886,0.95,10000,0.001010508868408461,small,2,1,1000,COMPLETE
232,232,1051.957968,2021-05-05 00:49:39.143318,2021-05-05 01:02:10.360409,0 days 00:12:31.217091000,512,1000000,0.009562216829795266,0.30635684887677084,0.95,10000,0.00098106071280365,small,2,1,1000,COMPLETE
