,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_buffer_size,params_exploration_final_eps,params_exploration_fraction,params_gamma,params_learning_starts,params_lr,params_net_arch,params_subsample_steps,params_target_update_interval,params_train_freq,state
27,27,-80.35273600000001,2021-05-04 10:42:05.609970,2021-05-04 10:49:28.166557,0 days 00:07:22.556587000,256,100000,0.006788080677217246,0.4934543054610151,0.9999,0,0.001926889093345805,medium,4,20000,16,COMPLETE
28,28,-337.99134319999996,2021-05-04 10:47:30.760568,2021-05-04 10:49:15.284081,0 days 00:01:44.523513000,256,100000,0.018236890314256664,0.4993621730822592,0.9999,0,0.002120310553064089,medium,4,20000,4,PRUNED
29,29,-341.5130828,2021-05-04 10:49:15.285395,2021-05-04 10:51:53.321299,0 days 00:02:38.035904000,100,100000,0.03127385439032308,0.46757827639376237,0.9,10000,3.2542334627224985e-05,medium,4,1000,1,PRUNED
30,30,374.084713,2021-05-04 10:49:28.167960,2021-05-04 11:04:57.053606,0 days 00:15:28.885646000,100,100000,0.031688098265769266,0.4570466517944393,0.9,10000,4.731150713608725e-05,medium,4,1000,1,COMPLETE
31,31,94.3968076,2021-05-04 10:51:53.325027,2021-05-04 10:58:30.698951,0 days 00:06:37.373924000,256,100000,0.0373221475867461,0.2744480961307364,0.9,0,0.00028181171847807725,medium,4,20000,4,COMPLETE
32,32,-339.6622532,2021-05-04 10:58:30.700445,2021-05-04 11:08:39.258749,0 days 00:10:08.558304000,256,100000,0.08710449150078046,0.45451338212636333,0.995,0,0.0003259215644277514,medium,1,20000,256,PRUNED
33,33,-289.9389304,2021-05-04 10:59:46.593342,2021-05-04 11:03:48.595147,0 days 00:04:02.001805000,256,10000,0.08681375245812284,0.45193762037400304,0.9,0,1.3700479283694498e-05,medium,8,20000,16,COMPLETE
34,34,18.3764792,2021-05-04 11:03:48.598011,2021-05-04 11:09:41.983282,0 days 00:05:53.385271000,256,10000,0.1845759585699919,0.39911893574909535,0.9,0,5.729208537193136e-05,medium,4,20000,16,COMPLETE
35,35,341.7049934,2021-05-04 11:04:57.060105,2021-05-04 11:17:03.077490,0 days 00:12:06.017385000,100,100000,0.05709724052196617,0.40102321686749626,0.9,10000,5.1435567013917004e-05,medium,4,1000,1,COMPLETE
36,36,422.7664576,2021-05-04 11:08:39.260537,2021-05-04 11:21:13.806146,0 days 00:12:34.545609000,100,100000,0.059248530518565504,0.40436682862449036,0.9,10000,4.944174055567811e-05,medium,4,1000,1,COMPLETE
37,37,340.5594302,2021-05-04 11:09:41.992594,2021-05-04 11:24:27.613504,0 days 00:14:45.620910000,100,100000,0.05901152357468344,0.4390439856204248,0.999,10000,0.0008527572652298972,medium,4,1000,1,COMPLETE
38,38,-341.008761,2021-05-04 11:17:03.081603,2021-05-04 11:26:56.960082,0 days 00:09:53.878479000,100,1000000,0.07026262294514063,0.4381519660031529,0.999,10000,4.479964592446989e-05,small,4,1000,1,COMPLETE
39,39,-243.6106246,2021-05-04 11:21:13.811812,2021-05-04 11:31:19.291594,0 days 00:10:05.479782000,100,100000,0.05225217092476511,0.44832337082458834,0.999,10000,3.8253961788750226e-05,small,4,1000,1,COMPLETE
40,40,-131.0881506,2021-05-04 11:24:27.618062,2021-05-04 11:34:41.592046,0 days 00:10:13.973984000,100,100000,0.06199080174445041,0.4569845256500578,0.999,10000,1.8133108115614464e-05,small,4,1000,1,COMPLETE
41,41,-125.50546360000001,2021-05-04 11:26:56.962267,2021-05-04 11:37:19.813788,0 days 00:10:22.851521000,100,100000,0.05761732454685922,0.3504767758045998,0.999,10000,1.605885610864148e-05,small,4,1000,1,COMPLETE
42,42,-356.35291100000006,2021-05-04 11:31:19.301306,2021-05-04 11:44:58.599998,0 days 00:13:39.298692000,100,100000,0.051722413607726246,0.35107411091790525,0.999,10000,1.9167198480940706e-05,medium,4,1000,1,COMPLETE
43,43,-49.6953228,2021-05-04 11:34:41.599268,2021-05-04 11:49:33.140749,0 days 00:14:51.541481000,100,100000,0.045271135187259184,0.3572530782995863,0.999,10000,0.000538713874171048,medium,4,1000,1,COMPLETE
44,44,473.57618940000003,2021-05-04 11:37:19.817817,2021-05-04 11:51:23.324183,0 days 00:14:03.506366000,100,100000,0.041610104038397565,0.47409013815235046,0.99,10000,6.657549107624756e-05,medium,4,1000,1,COMPLETE
45,45,-293.9574226000001,2021-05-04 11:44:58.603415,2021-05-04 11:47:48.512234,0 days 00:02:49.908819000,100,100000,0.09870296457120013,0.3944742175035897,0.99,10000,0.0006304019040184892,medium,4,1000,1,PRUNED
46,46,332.76801579999994,2021-05-04 11:47:48.517678,2021-05-04 12:00:38.724829,0 days 00:12:50.207151000,100,100000,0.02020078175323793,0.4691849064136047,0.95,10000,6.972157857734198e-05,medium,4,1000,1,COMPLETE
47,47,408.8445206,2021-05-04 11:49:33.142505,2021-05-04 12:02:58.208991,0 days 00:13:25.066486000,100,100000,0.01687066495278447,0.4669399019210802,0.95,10000,8.340223934767857e-05,medium,4,10000,1,COMPLETE
